booking_id,user_id,technician_id,service_category,problem_description,booking_date,status,final_cost,rating,simulated_distance_deg
1,499,32,Electrical,Sparking sound coming from the wall outlet.,2026-01-11 22:24:04.568075,Canceled,0,,0.2951
2,198,24,Plumbing,My kitchen sink is leaking continuously.,2025-08-24 22:24:04.568075,Completed,1077,4.0,0.1472
3,316,35,Plumbing,"Bathroom pipe burst, flooding the floor!",2025-05-21 22:24:04.568075,Canceled,0,,0.0161
4,365,97,Electrical,Wiring for the new smart TV setup.,2026-01-26 22:24:04.568075,Canceled,0,,0.3197
5,102,100,Electrical,Need smart home wiring for lights and thermostat.,2025-07-15 22:24:04.568075,Canceled,0,,0.3512
6,381,35,Plumbing,Need help installing a new washing machine drain.,2025-08-21 22:24:04.568075,Completed,886,5.0,0.0084
7,411,95,Electrical,Need smart home wiring for lights and thermostat.,2025-08-25 22:24:04.568075,Canceled,0,,0.3222
8,420,25,Carpentry,Antique wooden table has cracks and needs restoration.,2025-05-11 22:24:04.568075,Completed,370,4.0,0.1
9,279,78,Electrical,Main circuit breaker needs inspection and replacement.,2025-05-02 22:24:04.568075,Completed,1002,5.0,0.3077
10,370,33,Plumbing,The kitchen drain is clogged and water backs up.,2025-06-10 22:24:04.568075,Completed,178,3.0,0.3856
11,202,66,Carpentry,The bedroom door is stuck and won't close.,2025-11-17 22:24:04.568075,Completed,562,3.0,0.3224
12,66,61,Electrical,Need to install a new ceiling fan in the bedroom.,2025-08-13 22:24:04.568075,Completed,579,5.0,0.0493
13,491,68,Plumbing,"Toilet is constantly running, wasting water.",2025-08-04 22:24:04.568075,Completed,181,4.0,0.0044
14,457,79,Carpentry,Antique wooden table has cracks and needs restoration.,2025-07-01 22:24:04.568075,Canceled,0,,0.1261
15,483,67,Electrical,Sparking sound coming from the wall outlet.,2025-06-06 22:24:04.568075,Completed,832,5.0,0.343
16,58,29,Electrical,Need to install a new ceiling fan in the bedroom.,2025-04-27 22:24:04.568075,Canceled,0,,0.1471
17,210,37,Electrical,Half the lights in the apartment went out suddenly.,2026-01-07 22:24:04.568075,Completed,630,4.0,0.0308
18,411,45,Electrical,Need to install a new ceiling fan in the bedroom.,2025-08-24 22:24:04.568075,Completed,496,4.0,0.3893
19,113,42,Electrical,Sparking sound coming from the wall outlet.,2025-12-03 22:24:04.568075,Canceled,0,,0.0455
20,186,37,Electrical,Wiring for the new smart TV setup.,2025-04-11 22:24:04.568075,Completed,420,4.0,0.0272
21,64,98,Electrical,Sparking sound coming from the wall outlet.,2026-01-25 22:24:04.568075,Canceled,0,,0.3797
22,407,80,Electrical,Need to install a new ceiling fan in the bedroom.,2026-03-02 22:24:04.568075,Completed,246,4.0,0.0139
23,341,37,Electrical,Need smart home wiring for lights and thermostat.,2025-04-01 22:24:04.568075,Canceled,0,,0.3497
24,348,91,Plumbing,The water heater is making strange noises and water is cold.,2025-06-19 22:24:04.568075,Completed,612,4.0,0.0482
25,260,2,Electrical,Wall outlet stopped working and smells like burning.,2025-08-11 22:24:04.568075,Completed,794,5.0,0.0098
26,294,61,Electrical,The fuse box keeps tripping when I turn on the AC.,2025-10-31 22:24:04.568075,Canceled,0,,0.1263
27,235,50,Electrical,Wall outlet stopped working and smells like burning.,2025-11-17 22:24:04.568075,Canceled,0,,0.0177
28,54,91,Plumbing,"Need the water heater replaced, it's rusty and old.",2025-05-14 22:24:04.568075,Completed,612,4.0,0.0359
29,473,63,Plumbing,The kitchen drain is clogged and water backs up.,2025-08-16 22:24:04.568075,Completed,958,3.0,0.3604
30,443,37,Electrical,Sparking sound coming from the wall outlet.,2025-12-28 22:24:04.568075,Canceled,0,,0.1101
31,308,75,Plumbing,My kitchen sink is leaking continuously.,2025-09-03 22:24:04.568075,Completed,422,4.0,0.0809
32,486,95,Electrical,Need to rewire the living room for extra outlets.,2025-10-14 22:24:04.568075,Canceled,0,,0.0247
33,250,90,Electrical,Wiring for the new smart TV setup.,2025-03-22 22:24:04.568075,Canceled,0,,0.3296
34,35,41,Electrical,Wiring for the new smart TV setup.,2025-12-12 22:24:04.568075,Completed,836,5.0,0.0084
35,53,29,Electrical,Ceiling fan is wobbling dangerously and making noise.,2025-12-02 22:24:04.568075,Canceled,0,,0.0372
36,275,65,Plumbing,"Toilet is constantly running, wasting water.",2025-07-04 22:24:04.568075,Canceled,0,,0.3866
37,404,32,Electrical,Need to install a new ceiling fan in the bedroom.,2025-08-16 22:24:04.568075,Canceled,0,,0.3751
38,126,68,Plumbing,"Toilet is constantly running, wasting water.",2025-11-25 22:24:04.568075,Canceled,0,,0.0237
39,423,1,Carpentry,"Front door lock mechanism is jammed, door won't open.",2025-07-22 22:24:04.568075,Completed,208,3.0,0.2933
40,438,47,Carpentry,Need custom shelves built for the living room.,2025-10-16 22:24:04.568075,Completed,808,5.0,0.0408
41,81,62,Plumbing,"Bathroom pipe burst, flooding the floor!",2025-05-19 22:24:04.568075,Completed,963,5.0,0.0207
42,388,9,Electrical,Wall outlet stopped working and smells like burning.,2026-02-16 22:24:04.568075,Canceled,0,,0.151
43,64,70,Electrical,The fuse box keeps tripping when I turn on the AC.,2025-08-18 22:24:04.568075,Canceled,0,,0.3898
44,150,83,Plumbing,Need help installing a new washing machine drain.,2025-10-20 22:24:04.568075,Canceled,0,,0.0139
45,284,44,Plumbing,"Toilet is constantly running, wasting water.",2025-07-24 22:24:04.568075,Canceled,0,,0.1432
46,338,15,Electrical,Wall outlet stopped working and smells like burning.,2026-01-22 22:24:04.568075,Completed,530,4.0,0.0254
47,429,72,Carpentry,Fixing a broken leg on the dining table.,2025-05-30 22:24:04.568075,Canceled,0,,0.3299
48,436,44,Plumbing,"Bathroom pipe burst, flooding the floor!",2025-10-20 22:24:04.568075,Completed,843,5.0,0.4031
